,open,high,low,close,volume
20181224,7790,7800,7570,7710,21124
20181221,7740,7860,7610,7610,21978
20181220,7780,7780,7600,7740,12985
20181219,7760,7880,7730,7730,9819
20181218,7900,7930,7720,7820,18263
20181217,7960,7960,7640,7810,29360
20181214,7950,8100,7600,8000,58296
20181213,8030,8050,7710,7950,50925
20181212,7670,7920,7490,7920,44543
20181211,7800,7950,7590,7670,17019
20181210,7680,7820,7610,7770,37332
20181207,7890,7940,7710,7710,30777
20181206,8020,8020,7760,7900,33659
20181205,7550,8000,7400,8000,85986
20181204,7880,8040,7700,7720,27453
20181203,8010,8010,7810,7940,14459
20181130,7910,8060,7800,8000,42241
20181129,8060,8230,7990,8060,26874
20181128,8150,8290,8080,8100,25024
20181127,8210,8400,8150,8220,14565
20181126,8190,8310,8060,8250,31110
20181123,8170,8280,8000,8110,11254
20181122,8270,8310,8120,8120,11688
20181121,8200,8360,8190,8190,19315
20181120,8240,8350,8040,8320,30358
20181119,8300,8410,8120,8280,28070
20181116,8150,8380,8080,8300,41747
20181115,8190,8190,7990,8050,22221
20181114,8100,8200,8080,8180,18307
20181113,8080,8130,7910,8130,18143
20181112,8130,8210,8050,8090,22312
20181109,8270,8270,8030,8120,28299
20181108,8110,8290,8080,8150,33755
20181107,8270,8270,7700,7950,61049
20181106,8100,8260,8000,8100,37402
20181105,8170,8350,8170,8200,46730
20181102,8160,8350,8120,8210,34294
20181101,8280,8500,8050,8160,59164
20181031,8320,8500,7960,8280,70753
20181030,6600,9740,6600,8470,249730
20181029,8000,8300,7500,7500,108001
20181026,8810,8990,8150,8200,87424
20181025,9200,9200,8800,8800,55692
20181024,9500,9570,9050,9300,67661
20181023,9590,9900,9310,9320,192504
20181022,9250,9510,9250,9440,76822
20181019,9080,9460,8810,9250,81489
20181018,8700,9070,8620,9070,52116
20181017,8550,8800,8400,8750,56563
20181016,8100,8490,8060,8490,46894
20181015,7960,8200,7910,8110,45586
20181012,7510,8000,7510,8000,110484
20181011,7500,8380,7500,7950,70474
20181010,8650,8770,8470,8470,42862
20181008,8750,8910,8690,8760,23577
20181005,8700,8960,8680,8750,58205
20181004,9180,9180,8710,8710,51145
20181002,9010,9200,9010,9020,48066
20181001,9250,9370,9000,9180,27679
20180928,9160,9340,9150,9190,39918
20180927,9490,9490,9190,9210,37912
20180921,9640,9640,9320,9490,35378
20180920,9530,9610,9340,9400,44553
20180919,9630,9730,9530,9530,34368
20180918,9780,9780,9440,9670,54219
20180917,9780,9820,9610,9780,50809
20180914,9360,9780,9350,9710,56685
20180913,9270,9450,9270,9350,52854
20180912,9620,9620,9390,9400,36020
20180911,9400,9600,9400,9540,56295
20180910,9600,9650,9260,9460,70289
20180907,9640,9830,9580,9650,57117
20180906,9880,9970,9510,9770,117573
20180905,10000,10050,9850,9960,54157
20180904,9860,10050,9820,10000,52614
20180903,10000,10100,9830,9850,109703
20180831,10150,10150,9920,10000,73674
20180830,10050,10100,9910,10000,93425
20180829,9990,10150,9940,9950,176437
20180828,9650,9970,9590,9880,239466
20180827,9770,9770,9500,9650,67279
20180824,9730,9900,9500,9650,199429
20180823,9250,9930,9210,9650,518657
20180822,9000,9360,8820,9140,238290
20180821,8780,8900,8640,8900,88880
20180820,8950,8950,8740,8780,52329
20180817,8920,9040,8780,8880,51983
20180816,9220,9220,8910,8920,53689
20180814,9100,9270,9010,9140,48583
20180813,9050,9170,8920,9060,53423
20180810,9080,9140,9000,9050,35210
20180809,9120,9130,9010,9080,53317
20180808,9450,9500,8890,9050,225244
20180807,9550,9550,9190,9220,108176
20180806,9690,9690,9250,9410,124068
20180803,9050,9330,9000,9230,182417
20180802,9020,9230,8860,8860,152172
20180801,8990,9100,8880,8900,48274
20180731,8950,9130,8930,8980,71006
20180730,8920,9060,8920,8950,28210
20180727,9030,9150,8910,9000,62534
20180726,8930,9060,8710,9030,79027
20180725,8770,9210,8710,8710,193135
20180724,9070,9070,8680,8680,81877
20180723,9020,9110,8700,8900,94971
20180720,9180,9440,9040,9070,241332
20180719,8940,9100,8900,9100,76903
20180718,9200,9350,8840,9020,239928
20180717,8850,9300,8750,9100,218699
20180716,8870,9100,8850,8850,59085
20180713,8930,9040,8820,9000,81371
20180712,8950,8950,8750,8800,50391
20180711,8820,9210,8780,8820,101542
20180710,8960,9270,8870,8920,154121
20180709,8750,9130,8690,8980,186862
20180706,8780,8780,8520,8700,73787
20180705,8530,8740,8450,8720,86331
20180704,8450,8650,8380,8530,58016
20180703,8020,8500,8020,8400,107891
20180702,8160,8420,8080,8100,45071
20180629,8240,8400,8150,8160,46632
20180628,8400,8590,8170,8230,68296
20180627,8400,8750,8300,8300,139128
20180626,8200,9200,8200,8600,514590
20180625,8000,8160,7800,8010,67060
20180622,7920,8490,7920,8130,126697
20180621,8150,8170,7800,8000,45237
20180620,7800,8200,7700,8010,72549
20180619,8000,8340,7800,7850,94851
20180618,8840,8840,8070,8070,112225
20180615,8290,8860,8290,8790,86677
20180614,8500,8540,8300,8390,64226
20180612,9000,9090,8500,8510,150320
20180611,9160,9340,9000,9000,205151
20180608,9220,9550,8930,9410,330626
20180607,9000,9700,9000,9150,594473
20180605,9260,10250,8700,8700,2875945
20180604,8300,8930,8300,8750,161325
20180601,8680,8690,8300,8300,47422
20180531,8840,8840,8350,8610,113798
20180530,9060,9390,8650,8660,331586
20180529,7980,9110,7900,8930,420154
20180528,7650,8040,7650,7980,75169
20180525,7870,8010,7770,7770,56316
20180524,7710,7950,7710,7880,26615
20180523,8010,8030,7790,7790,37754
20180521,8080,8080,7870,8000,54695
20180518,7850,8000,7720,7870,38834
20180517,7430,8000,7400,7760,95410
20180516,7420,7550,7180,7370,107195
20180515,7720,7940,7500,7560,119014
20180514,8150,8150,7650,7750,123167
20180511,8240,8330,8090,8210,54152
20180510,8240,8500,8200,8240,94273
20180509,8300,8540,7780,8270,79773
20180508,8650,8660,8370,8370,86830
20180504,8780,8840,8450,8610,65246
20180503,8360,8840,8360,8560,93770
20180502,8560,8650,8350,8360,141871
20180430,9050,9150,8770,8770,72333
20180427,9000,9350,8980,9050,98793
20180426,9010,9110,8960,8960,31234
20180425,9400,9410,9010,9010,111327
20180424,8850,9340,8850,9330,182626
20180423,9130,9190,8800,8850,50276
20180420,9100,9150,8870,9140,53962
20180419,9070,9240,8770,8970,79488
20180418,9110,9280,8890,8980,95309
20180417,9010,9310,8820,9120,132841
20180416,9050,9240,9030,9060,77919
20180413,9200,9430,8960,9050,129323
20180412,8540,9410,8470,9120,239345
20180411,8300,8720,8250,8560,123814
20180410,8320,8520,8160,8300,143338
20180409,8650,8800,8270,8520,147695
20180406,8590,8880,8530,8790,106017
20180405,9390,9390,8400,8610,506837
20180404,9700,9770,9150,9350,119388
20180403,9890,9990,9500,9700,79674
20180402,9950,10000,9710,9800,64619
20180330,10000,10150,9960,10050,68022
20180329,9920,10150,9900,10000,66469
20180328,9980,10150,9800,10000,101354
20180327,10300,10400,9990,10050,131135
20180326,10000,10400,9830,10400,114701
20180323,9910,10500,9810,10000,187206
20180322,10050,10200,9940,9950,166218
20180321,10300,10350,10100,10150,62646
20180320,10050,10450,10050,10250,92762
20180319,10800,10900,10000,10050,261513
20180316,10900,11100,10800,10900,140587
20180315,10850,11100,10500,10950,239001
20180314,10050,10800,9980,10750,273575
20180313,9950,10100,9940,10000,87273
20180312,10150,10300,9950,9950,147335
20180309,10150,10300,10050,10150,62686
20180308,9830,10250,9830,10250,89805
20180307,10300,10300,9910,9910,126741
20180306,10150,10350,10000,10250,83443
20180305,10450,10550,10200,10200,74868
20180302,10150,10550,9980,10450,106435
20180228,10400,10650,10200,10200,105443
20180227,10700,10800,10050,10350,194782
20180226,11150,11550,10650,10650,237246
20180223,11600,11900,11100,11350,496250
20180222,10800,11250,10650,11000,210229
20180221,11200,11900,10800,10800,961991
20180220,10550,10750,10400,10550,136950
20180219,10300,10600,10250,10600,220385
20180214,9990,10300,9980,10150,120562
20180213,9870,10200,9870,9950,170864
20180212,9850,9990,9760,9840,99354
